region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
        Очаково-Матвеевское;90576;46123;44453;50,9;49,1
        Проспект Вернадского;56564;26048;30516;46,1;53,9
        Раменки;101485;48229;53256;47,5;52,5
        Солнцево;85642;40731;44911;47,6;52,4
        Тропарево-Никулино;77901;37224;40677;47,8;52,2
        Филевский Парк;66775;31759;35016;47,6;52,4
        Фили-Давыдково;92965;45002;47963;48,4;51,6
     Северный административный округ;1112846;541501;571345;48,7;51,3
          районы;;;;;
        Аэропорт;74775;35861;38914;48;52
        Беговой;44385;23522;20863;53;47
        Бескудниковский;74790;34270;40520;45,8;54,2
        Войковский;67470;31899;35571;47,3;52,7
        Восточное Дегунино;97083;47981;49102;49,4;50,6
        Головинский;102160;51017;51143;49,9;50,1
        Дмитровский;88931;45328;43603;51;49
        Западное Дегунино;76756;37935;38821;49,4;50,6
        Коптево;97989;47643;50346;48,6;51,4
        Левобережный;51309;25773;25536;50,2;49,8
        Молжаниновский;2928;1430;1498;48,8;51,2
        Савеловский;57814;27872;29942;48,2;51,8
        Сокол;57317;26678;30639;46,5;53,5
        Тимирязевский;84098;40810;43288;48,5;51,5
        Ховрино;79092;35604;43488;45;55
        Хорошевский;55949;27878;28071;49,8;50,2
     Северо-Восточный административный округ;1240062;579461;660601;46,7;53,3
          районы;;;;;
        Алексеевский;73429;32707;40722;44,5;55,5
        Алтуфьевский;50091;25108;24983;50,1;49,9
        Бабушкинский;77491;36587;40904;47,2;52,8
        Бибирево;151334;70082;81252;46,3;53,7
        Бутырский;60922;27925;32997;45,8;54,2
        Лианозово;76465;34869;41596;45,6;54,4
        Лосиноостровский;72640;32419;40221;44,6;55,4
        Марфино;23971;11990;11981;50;50
        Марьина Роща;60194;27998;32196;46,5;53,5
        Останкинский;57707;27905;29802;48,4;51,6
        Отрадное;168972;78091;90881;46,2;53,8
        Ростокино;35134;16722;18412;47,6;52,4
        Свиблово;52824;24007;28817;45,4;54,6
        Северное Медведково;111804;53744;58060;48,1;51,9
        Северный;9629;4673;4956;48,5;51,5
        Южное Медведково;72716;34738;37978;47,8;52,2
        Ярославский;84739;39896;44843;47,1;52,9
     Северо-Западный административный округ;779965;366223;413742;47;53
          районы;;;;;
        Куркино;2339;1333;1006;57;43
        Митино;138371;65156;73215;47,1;52,9
        Покровское-Стрешнево;46707;21458;25249;45,9;54,1
        Северное Тушино;138533;62531;76002;45,1;54,9
        Строгино;124149;58350;65799;47;53
        Хорошево-Мневники;146968;70309;76659;47,8;52,2
        Щукино;89454;41189;48265;46;54
        Южное Тушино;93444;45897;47547;49,1;50,9
     Центральный административный округ;701353;329468;371885;47;53
          районы;;;;;
        Арбат;25699;13215;12484;51,4;48,6
        Басманный;100899;48448;52451;48;52
        Замоскворечье;50590;22910;27680;45,3;54,7
        Китай-Город;-;-;-;;
        Красносельский;45229;21217;24012;46,9;53,1
        Мещанский;56077;25671;30406;45,8;54,2
        Пресненский;116979;54918;62061;46,9;53,1
        Таганский;109993;50703;59290;46,1;53,9
        Тверской;75955;36598;39357;48,2;51,8
        Хамовники;97110;45470;51640;46,8;53,2
        Якиманка;22822;10318;12504;45,2;54,8
     Юго-Восточный административный округ;1109121;521214;587907;47;53
          районы;;;;;
        Выхино-Жулебино;184749;83400;101349;45,1;54,9
        Капотня;27828;13086;14742;47;53
        Кузьминки;122951;57411;65540;46,7;53,3
        Лефортово;87560;46357;41203;52,9;47,1
        Люблино;132331;64097;68234;48,4;51,6
        Марьино;206388;94916;111472;46;54
        Нижегородский;38756;19857;18899;51,2;48,8
        Печатники;71383;32936;38447;46,1;53,9
        Рязанский;89270;42649;46621;47,8;52,2
        Текстильщики;87849;39898;47951;45,4;54,6
        Южнопортовый;60056;26607;33449;44,3;55,7
     Юго-Западный административный округ;1179211;547676;631535;46,4;53,6
          районы;;;;;
        Академический;96172;44917;51255;46,7;53,3
        Гагаринский;72072;32235;39837;44,7;55,3
        Зюзино;111719;54948;56771;49,2;50,8
        Коньково;138757;64266;74491;46,3;53,7
        Котловка;58666;27210;31456;46,4;53,6
        Ломоносовский;81851;37415;44436;45,7;54,3
        Обручевский;63484;29209;34275;46;54
        Северное Бутово;75045;34887;40158;46,5;53,5
        Теплый Стан;112733;51268;61465;45,5;54,5
        Черемушки;89264;40465;48799;45,3;54,7
        Южное Бутово;105212;49442;55770;47;53
        Ясенево;174236;81414;92822;46,7;53,3
     Южный административный округ;1593065;782101;810964;49,1;50,9
          районы;;;;;
        Бирюлево Восточное;129700;62428;67272;48,1;51,9
        Бирюлево Западное;83303;42473;40830;51;49
        Братеево;94644;46868;47776;49,5;50,5
        Даниловский;90265;46523;43742;51,5;48,5
        Донской;45447;22673;22774;49,9;50,1
        Зябликово;121197;61002;60195;50,3;49,7
        Москворечье-Сабурово;67257;34928;32329;51,9;48,1
        Нагатино-Садовники;69031;33532;35499;48,6;51,4
        Нагатинский Затон;105948;49291;56657;46,5;53,5
        Нагорный;69535;34352;35183;49,4;50,6
        Орехово-Борисово Северное;121402;62049;59353;51,1;48,9
        Орехово-Борисово Южное;137965;64673;73292;46,9;53,1
        Царицыно;115708;54657;61051;47,2;52,8
        Чертаново Северное;104613;54070;50543;51,7;48,3
        Чертаново Центральное;104042;49528;54514;47,6;52,4
        Чертаново Южное;133008;63054;69954;47,4;52,6
  г. Зеленоград;215727;100415;115312;46,5;53,5
          районы;;;;;
        N1;38430;17554;20876;45,7;54,3
        N2;33429;15608;17821;46,7;53,3
        N3;32219;15234;16985;47,3;52,7
        N4;38168;17622;20546;46,2;53,8
        Крюково;73481;34397;39084;46,8;53,2
  пгт Восточный;12700;6853;5847;54;46
  пгт Внуково;20100;9431;10669;46,9;53,1
  пгт Некрасовка;7803;3715;4088;47,6;52,4
Северо - Западный федеральный округ;13974466;6455310;7519156;46,2;53,8
    Городское население;11502402;5268755;6233647;45,8;54,2
    Сельское население;2472064;1186555;1285509;48;52
Республика Карелия;716281;331505;384776;46,3;53,7
    Городское население;537395;246214;291181;45,8;54,2
    Сельское население;178886;85291;93595;47,7;52,3
  г. Петрозаводск с подчиненными его администрации населенными пунктами ;266589;118106;148483;44,3;55,7
    Городское население - г. Петрозаводск;266160;117913;148247;44,3;55,7
    Сельское население;429;193;236;45;55
  г. Кемь с подчиненными его администрации населенными пунктами ;15299;7038;8261;46;54
    Городское население - г. Кемь;14620;6713;7907;45,9;54,1
    Сельское население;679;325;354;47,9;52,1
  г. Кондопога;34863;15998;18865;45,9;54,1
  г. Костомукша с подчиненными его администрации населенными пунктами ;30250;14666;15584;48,5;51,5
