region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Суетский район - сельское население;5120;2446;2674;47,8;52,2
село Верх-Суетка (рц);2224;1033;1191;46,4;53,6
прочие сельские населенные пункты;2896;1413;1483;48,8;51,2
Табунский район - сельское население;10057;4791;5266;47,6;52,4
село Табуны (рц);3876;1812;2064;46,7;53,3
прочие сельские населенные пункты;6181;2979;3202;48,2;51,8
Тальменский район;46770;21829;24941;46,7;53,3
Городское население - пгт Тальменка рп (рц);18814;8664;10150;46,1;53,9
Сельское население;27956;13165;14791;47,1;52,9
станция Озёрки;4209;1961;2248;46,6;53,4
село Озёрки;5082;2372;2710;46,7;53,3
прочие сельские населенные пункты;18665;8832;9833;47,3;52,7
Тогульский район - сельское население;8478;3999;4479;47,2;52,8
село Тогул (рц);4349;2046;2303;47;53
прочие сельские населенные пункты;4129;1953;2176;47,3;52,7
Топчихинский район - сельское население;23350;11070;12280;47,4;52,6
село Топчиха (рц);8815;4201;4614;47,7;52,3
прочие сельские населенные пункты;14535;6869;7666;47,3;52,7
Третьяковский район - сельское население;14197;6695;7502;47,2;52,8
село Староалейское (рц);4769;2200;2569;46,1;53,9
прочие сельские населенные пункты;9428;4495;4933;47,7;52,3
Троицкий район - сельское население;24868;11620;13248;46,7;53,3
село Троицкое (рц);10033;4610;5423;45,9;54,1
прочие сельские населенные пункты;14835;7010;7825;47,3;52,7
Тюменцевский район - сельское население;15695;7563;8132;48,2;51,8
село Тюменцево (рц);5576;2659;2917;47,7;52,3
прочие сельские населенные пункты;10119;4904;5215;48,5;51,5
Угловский район - сельское население;13888;6568;7320;47,3;52,7
село Угловское (рц);4368;1986;2382;45,5;54,5
прочие сельские населенные пункты;9520;4582;4938;48,1;51,9
Усть-Калманский район - сельское население;15365;7220;8145;47;53
село Усть-Калманка (рц);6371;2990;3381;46,9;53,1
прочие сельские населенные пункты;8994;4230;4764;47;53
Усть-Пристанский район - сельское население;13409;6263;7146;46,7;53,3
село Усть-Чарышская Пристань (рц);5023;2310;2713;46;54
прочие сельские населенные пункты;8386;3953;4433;47,1;52,9
Хабарский район - сельское население;16431;7795;8636;47,4;52,6
село Хабары (рц);5552;2549;3003;45,9;54,1
прочие сельские населенные пункты;10879;5246;5633;48,2;51,8
Целинный район - сельское население;16403;7741;8662;47,2;52,8
село Целинное (рц);5276;2460;2816;46,6;53,4
прочие сельские населенные пункты;11127;5281;5846;47,5;52,5
Чарышский район - сельское население;12337;5959;6378;48,3;51,7
село Чарышское (рц);3217;1492;1725;46,4;53,6
прочие сельские населенные пункты;9120;4467;4653;49;51
Шелаболихинский район - сельское население;13678;6499;7179;47,5;52,5
село Шелаболиха (рц);4006;1882;2124;47;53
прочие сельские населенные пункты;9672;4617;5055;47,7;52,3
Шипуновский район - сельское население;33285;14826;18459;44,5;55,5
село Шипуново (рц);12127;4807;7320;39,6;60,4
прочие сельские населенные пункты;21158;10019;11139;47,4;52,6
Забайкальский край ;1107107;529486;577621;47,8;52,2
Городское население;729641;344078;385563;47,2;52,8
Сельское население;377466;185408;192058;49,1;50,9
г. Чита с подчиненными его администрации населенными пунктами;324942;150420;174522;46,3;53,7
Городское население - г. Чита;324444;150199;174245;46,3;53,7
  внутригородские административные районы;;;;;
  Железнодорожный;49694;22609;27085;45,5;54,5
  Ингодинский;75859;37935;37924;50;50
  Центральный;113133;50439;62694;44,6;55,4
  Черновский;85758;39216;46542;45,7;54,3
Сельское население;498;221;277;44,4;55,6
пгт Горный;12341;7334;5007;59,4;40,6
Акшинский район - сельское население;10682;5109;5573;47,8;52,2
село Акша (рц);3941;1801;2140;45,7;54,3
прочие сельские населенные пункты;6741;3308;3433;49,1;50,9
"Александрово-Заводский район - 
сельское население";8726;4282;4444;49,1;50,9
село Александровский Завод (рц);2482;1163;1319;46,9;53,1
прочие сельские населенные пункты;6244;3119;3125;50;50
Балейский район;20500;9501;10999;46,3;53,7
Городское население - г. Балей (рц);12533;5615;6918;44,8;55,2
Сельское население;7967;3886;4081;48,8;51,2
Борзинский район;51647;25732;25915;49,8;50,2
Городское население;43868;21877;21991;49,9;50,1
г. Борзя (рц);31379;16121;15258;51,4;48,6
пгт Шерловая Гора;12489;5756;6733;46,1;53,9
Сельское население;7779;3855;3924;49,6;50,4
Газимуро-Заводский район - сельское население;9407;4651;4756;49,4;50,6
село Газимурский Завод (рц);2657;1254;1403;47,2;52,8
прочие сельские населенные пункты;6750;3397;3353;50,3;49,7
Забайкальский район;20485;9744;10741;47,6;52,4
Городское население - пгт Забайкальск (рц);11769;5604;6165;47,6;52,4
Сельское население;8716;4140;4576;47,5;52,5
посёлок при станции Даурия;3850;1758;2092;45,7;54,3
прочие сельские населенные пункты;4866;2382;2484;49;51
Каларский район;9051;4418;4633;48,8;51,2
Городское население - пгт Новая Чара;4315;2094;2221;48,5;51,5
Сельское население;4736;2324;2412;49,1;50,9
село Чара (рц);1903;912;991;47,9;52,1
прочие сельские населенные пункты;2833;1412;1421;49,8;50,2
Калганский район - сельское население;8771;4308;4463;49,1;50,9
село Калга (рц);3425;1644;1781;48;52
прочие сельские населенные пункты;5346;2664;2682;49,8;50,2
Карымский район;37161;18392;18769;49,5;50,5
Городское население;23482;11192;12290;47,7;52,3
пгт Карымское (рц);13037;6369;6668;48,9;51,1
пгт Дарасун;7325;3393;3932;46,3;53,7
пгт Курорт Дарасун кп;3120;1430;1690;45,8;54,2
Сельское население;13679;7200;6479;52,6;47,4
село Урульга;3150;1501;1649;47,7;52,3
прочие сельские населенные пункты;10529;5699;4830;54,1;45,9
Краснокаменский район;64597;30594;34003;47,4;52,6
Городское население - г. Краснокаменск (рц);55666;26279;29387;47,2;52,8
Сельское население;8931;4315;4616;48,3;51,7
Красночикойский район - сельское население;19453;9276;10177;47,7;52,3
село Красный Чикой (рц);7063;3275;3788;46,4;53,6
прочие сельские населенные пункты;12390;6001;6389;48,4;51,6
Кыринский район - сельское население;13650;6670;6980;48,9;51,1
село Кыра (рц);4563;2128;2435;46,6;53,4
прочие сельские населенные пункты;9087;4542;4545;50;50
Могочинский район;25508;12279;13229;48,1;51,9
Городское население;21136;10144;10992;48;52
г. Могоча (рц);13258;6304;6954;47,5;52,5
пгт Амазар;2374;1193;1181;50,3;49,7
пгт Давенда;812;402;410;49,5;50,5
пгт Итака;356;172;184;48,3;51,7
пгт Ключевский;1356;656;700;48,4;51,6
пгт Ксеньевка;2980;1417;1563;47,6;52,4
Сельское население;4372;2135;2237;48,8;51,2
Нерчинский район;28455;14083;14372;49,5;50,5
Городское население;16479;8149;8330;49,5;50,5
г. Нерчинск (рц);14959;7443;7516;49,8;50,2
пгт Приисковый;1520;706;814;46,4;53,6
Сельское население;11976;5934;6042;49,5;50,5
Нерчинско-Заводский район - сельское население;10782;5286;5496;49;51
село Нерчинский Завод (рц);2842;1329;1513;46,8;53,2
прочие сельские населенные пункты;7940;3957;3983;49,8;50,2
Оловяннинский район;43494;21790;21704;50,1;49,9
Городское население;20833;10415;10418;50;50
пгт Оловянная (рц);8406;4550;3856;54,1;45,9
пгт Золотореченск;1442;685;757;47,5;52,5
пгт Калангуй;2112;1001;1111;47,4;52,6
пгт Ясногорск;8873;4179;4694;47,1;52,9
Сельское население;22661;11375;11286;50,2;49,8
посёлок при станции Ясная;7785;3969;3816;51;49
прочие сельские населенные пункты;14876;7406;7470;49,8;50,2
Ононский район - сельское население;11199;5396;5803;48,2;51,8
село Нижний Цасучей (рц);3363;1542;1821;45,9;54,1
прочие сельские населенные пункты;7836;3854;3982;49,2;50,8
Петровск-Забайкальский район;37900;17690;20210;46,7;53,3
Городское население;28039;12898;15141;46;54
г. Петровск-Забайкальский (рц);18549;8358;10191;45,1;54,9
пгт Баляга;3322;1557;1765;46,9;53,1
пгт Новопавловка;3941;1927;2014;48,9;51,1
пгт Тарбагатай;2227;1056;1171;47,4;52,6
Сельское население;9861;4792;5069;48,6;51,4
Приаргунский район;21831;10496;11335;48,1;51,9
Городское население;9174;4208;4966;45,9;54,1
пгт Приаргунск (рц);7388;3371;4017;45,6;54,4
пгт Кличка;1786;837;949;46,9;53,1
Сельское население;12657;6288;6369;49,7;50,3
Сретенский район;23311;10953;12358;47;53
Городское население;15928;7367;8561;46,3;53,7
г. Сретенск (рц);6850;3140;3710;45,8;54,2
пгт Кокуй;7179;3278;3901;45,7;54,3
пгт Усть-Карск;1899;949;950;50;50
Сельское население;7383;3586;3797;48,6;51,4
Тунгиро-Олекминский район - сельское население;1432;735;697;51,3;48,7
село Тупик (рц);971;491;480;50,6;49,4
прочие сельские населенные пункты;461;244;217;52,9;47,1
Тунгокоченский район;12685;6012;6673;47,4;52,6
Городское население - пгт Вершино-Дарасунский;5946;2770;3176;46,6;53,4
Сельское население;6739;3242;3497;48,1;51,9
село Верх-Усугли (рц);2624;1243;1381;47,4;52,6
прочие сельские населенные пункты;4115;1999;2116;48,6;51,4
Улетовский район;18946;8939;10007;47,2;52,8
Городское население - пгт Дровяная;2871;1373;1498;47,8;52,2
Сельское население;16075;7566;8509;47,1;52,9
село Улеты (рц);6061;2762;3299;45,6;54,4
прочие сельские населенные пункты;10014;4804;5210;48;52
Хилокский район;31760;15167;16593;47,8;52,2
Городское население;15395;7202;8193;46,8;53,2
г. Хилок (рц);11539;5380;6159;46,6;53,4
пгт Могзон;3856;1822;2034;47,3;52,7
Сельское население;16365;7965;8400;48,7;51,3
село Бада;4687;2255;2432;48,1;51,9
прочие сельские населенные пункты;11678;5710;5968;48,9;51,1
Чернышевский район;35019;16652;18367;47,6;52,4
Городское население;23726;11151;12575;47;53
пгт Чернышевск (рц);13359;6303;7056;47,2;52,8
пгт Аксеново-Зиловское;3443;1649;1794;47,9;52,1
пгт Букачача;2359;1081;1278;45,8;54,2
пгт Жирекен;4565;2118;2447;46,4;53,6
Сельское население;11293;5501;5792;48,7;51,3
Читинский район;64642;32136;32506;49,7;50,3
Городское население;21299;10297;11002;48,3;51,7
пгт Атамановка;10381;5218;5163;50,3;49,7
пгт Новокручининский;10166;4735;5431;46,6;53,4
пгт Яблоново;752;344;408;45,7;54,3
Сельское население;43343;21839;21504;50,4;49,6
село Домна;6686;3906;2780;58,4;41,6
село Засопка;3599;1776;1823;49,3;50,7
село Маккавеево;4145;1944;2201;46,9;53,1
село Смоленка;4243;2155;2088;50,8;49,2
прочие сельские населенные пункты;24670;12058;12612;48,9;51,1
Шелопугинский район - сельское население;8369;4028;4341;48,1;51,9
село Шелопугино (рц);3274;1552;1722;47,4;52,6
прочие сельские населенные пункты;5095;2476;2619;48,6;51,4
Шилкинский район;43194;20301;22893;47;53
Городское население;29266;13499;15767;46,1;53,9
г. Шилка (рц);13947;6411;7536;46;54
пгт Арбагар;554;259;295;46,8;53,2
пгт Первомайский;12154;5591;6563;46;54
пгт Холбон;2611;1238;1373;47,4;52,6
Сельское население;13928;6802;7126;48,8;51,2
"Административно-территориальная
единица с особым статусом - Агинский
Бурятский округ";77167;37112;40055;48,1;51,9
Городское население;31131;14411;16720;46,3;53,7
Сельское население;46036;22701;23335;49,3;50,7
Агинский район;34354;16279;18075;47,4;52,6
Городское население;20900;9700;11200;46,4;53,6
пгт Агинское (рц);15596;7208;8388;46,2;53,8
пгт Новоорловск;3110;1429;1681;45,9;54,1
пгт Орловский;2194;1063;1131;48,5;51,5
Сельское население;13454;6579;6875;48,9;51,1
Дульдургинский район - сельское население;15350;7371;7979;48;52
село Дульдурга (рц);6651;3108;3543;46,7;53,3
прочие сельские населенные пункты;8699;4263;4436;49;51
Могойтуйский район;27463;13462;14001;49;51
Городское население - пгт Могойтуй (рц);10231;4711;5520;46;54
Сельское население;17232;8751;8481;50,8;49,2
Красноярский край ;2828187;1317575;1510612;46,6;53,4
Городское население;2157706;990611;1167095;45,9;54,1
Сельское население;670481;326964;343517;48,8;51,2
г. Красноярск с подчиненными его администрации населенными пунктами;974591;440545;534046;45,2;54,8
Городское население - г. Красноярск;973826;440168;533658;45,2;54,8
  внутригородские районы;;;;;
  Железнодорожный;93529;42767;50762;45,7;54,3
  Кировский;114715;50908;63807;44,4;55,6
  Ленинский;145530;65248;80282;44,8;55,2
  Октябрьский;153112;69207;83905;45,2;54,8
  Свердловский;130596;58227;72369;44,6;55,4
  Советский;281284;129539;151745;46,1;53,9
  Центральный;55060;24272;30788;44,1;55,9
Сельское население;765;377;388;49,3;50,7
г. Ачинск с подчиненными его администрации населенными пунктами - городское население;110448;49280;61168;44,6;55,4
г. Ачинск;109155;48647;60508;44,6;55,4
пгт Мазульский рп;1293;633;660;49;51
г. Боготол;21051;9566;11485;45,4;54,6
г. Бородино;17416;7913;9503;45,4;54,6
г. Дивногорск с подчиненными его администрации населенными пунктами;32193;14369;17824;44,6;55,4
Городское население - г. Дивногорск;28272;12518;15754;44,3;55,7
Сельское население;3921;1851;2070;47,2;52,8
г. Енисейск;18766;8807;9959;46,9;53,1
г. Железногорск с подчиненными его администрации населенными пунктами;93841;43560;50281;46,4;53,6
Городское население;91555;42464;49091;46,4;53,6
г. Железногорск;84795;38857;45938;45,8;54,2
пгт Подгорный рп;6760;3607;3153;53,4;46,6
Сельское население;2286;1096;1190;47,9;52,1
г. Зеленогорск;66056;30435;35621;46,1;53,9
г. Канск;94226;42623;51603;45,2;54,8
г. Лесосибирск с подчиненными его администрации населенными пунктами;66240;30384;35856;45,9;54,1
Городское население;66179;30351;35828;45,9;54,1
г. Лесосибирск;61139;27959;33180;45,7;54,3
пгт Стрелка рп;5040;2392;2648;47,5;52,5
Сельское население;61;33;28;54,1;45,9
г. Минусинск с подчиненными его администрации населенными пунктами - городское население;73948;34090;39858;46,1;53,9
г. Минусинск;71170;32771;38399;46;54
пгт Зеленый Бор рп;2778;1319;1459;47,5;52,5
г. Назарово;52817;23808;29009;45,1;54,9
г. Норильск с подчиненными его администрации населенными пунктами - городское население;176252;88007;88245;49,9;50,1
г. Норильск;175365;87570;87795;49,9;50,1
  внутригородские районы;;;;;
  Кайеркан;22338;11345;10993;50,8;49,2
  Талнах;47307;23807;23500;50,3;49,7
  Центральный;105720;52418;53302;49,6;50,4
пгт Снежногорск рп;887;437;450;49,3;50,7
г. Сосновоборск;33091;15311;17780;46,3;53,7
г. Шарыпово с подчиненными его администрации населенными пунктами - городское население;48814;22291;26523;45,7;54,3
г. Шарыпово;38561;17504;21057;45,4;54,6
пгт Горячегорск рп;756;354;402;46,8;53,2
пгт Дубинино рп;9497;4433;5064;46,7;53,3
пгт Солнечный рп;10384;5674;4710;54,6;45,4
Абанский район - сельское население;22577;10831;11746;48;52
поселок Абан (рц);9187;4283;4904;46,6;53,4
прочие сельские населенные пункты;13390;6548;6842;48,9;51,1
Ачинский район - сельское население;15870;7615;8255;48;52
Балахтинский район;21000;9905;11095;47,2;52,8
Городское население - пгт Балахта рп (рц);7410;3462;3948;46,7;53,3
Сельское население;13590;6443;7147;47,4;52,6
Березовский район;37868;17792;20076;47;53
Городское население - пгт Березовка рп (рц);20887;9660;11227;46,2;53,8
Сельское население;16981;8132;8849;47,9;52,1
село Зыково;5924;2759;3165;46,6;53,4
прочие сельские населенные пункты;11057;5373;5684;48,6;51,4
Бирилюсский район;10927;5187;5740;47,5;52,5
Городское население - пгт Рассвет рп;2744;1295;1449;47,2;52,8
Сельское население;8183;3892;4291;47,6;52,4
село Новобирилюссы (рц);4141;1916;2225;46,3;53,7
прочие сельские населенные пункты;4042;1976;2066;48,9;51,1
Боготольский район - сельское население;11267;5372;5895;47,7;52,3
Богучанский район - сельское население;47968;24836;23132;51,8;48,2
село Богучаны (рц);11232;5324;5908;47,4;52,6
поселок Октябрьский;5879;4052;1827;68,9;31,1
поселок Таежный;6048;3132;2916;51,8;48,2
село Чунояр;3135;1539;1596;49,1;50,9
прочие сельские населенные пункты;21674;10789;10885;49,8;50,2
Большемуртинский район;19115;8920;10195;46,7;53,3
Городское население;9536;4342;5194;45,5;54,5
пгт Большая Мурта рп (рц);7905;3585;4320;45,4;54,6
пгт Предивинск рп;1631;757;874;46,4;53,6
Сельское население;9579;4578;5001;47,8;52,2
Большеулуйский район - сельское население;7658;3585;4073;46,8;53,2
село Большой Улуй (рц);3340;1506;1834;45,1;54,9
прочие сельские населенные пункты;4318;2079;2239;48,1;51,9
Дзержинский район - сельское население;14552;6962;7590;47,8;52,2
